Old_Crime_ID	Crime_ID	Country	Link	Event_year	Event_date	Seizure_co	Seizure_ci	X	Y	N. of fire	Firearm_Ty	Ammunition	Storage	Shooting/h	N. of acto	Actors_nat	Actors_age	Actors_gen	Additional	Source	NUTS_ID
BE0105	BE100	Belgium	http://www.hln.be/hln/nl/957/Binnenland/article/detail/2121077/2014/11/14/Drugslab-in-Riemst-ontdekt.dhtml	2014.0	2014-11-14T00:00:00Z	Belgium	Riemst	5.601053	50.808756	N/A	N/A	N/A	N/A	N/A	7.0	Belgian;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A	M;M;M;M;M;M;M		Press Review	BE22
BE0106	BE101	Belgium	http://www.rtl.be/info/votreRegion/flandre/1144083/grosse-operation-policiere-a-gand-des-centaines-de-personnes-controlees	2014.0	2014-11-22T00:00:00Z	Belgium	Ghent (Region)	-	-	N/A	N/A	N/A	N/A	N/A	3.0	N/A;N/A;N/A	N/A;N/A;N/A	N/A;N/A;N/A	Cars checked at control points	Press Review	
BE0107	BE102	Belgium	http://www.lacapitale.be/1155795/article/2014-11-25/seize-personnes-arretees-lors-du-demantelement-d-un-vaste-reseau-de-trafic-de-dr;http://www.lameuse.be/1155795/article/2014-11-25/seize-personnes-arretees-lors-du-demantelement-d-un-vaste-reseau-de-trafic-de-dr;http://www.laprovince.be/1155795/article/2014-11-25/seize-personnes-arretees-lors-du-demantelement-d-un-vaste-reseau-de-trafic-de-dr	2014.0	2014-11-25T00:00:00Z	Belgium	Several places	-	-	40.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A	N/A	N/A	16.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Drug trafficking in several Regions (Lokeren Berlare / Zele, Vlas, Komen-Waasten, Gavers, Kouter and Riho)	Press Review	
BE0108	BE103	Belgium	http://www.rtl.be/info/votreRegion/flandre/1146203/coup-de-filet-chez-les-gangs-de-motards-du-limbourg-4-personnes-ecrouees	2014.0	2014-11-28T00:00:00Z	Belgium	Limburg (Region)	-	-	20.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Yes	N/A	N/A	4.0	N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A	Motorcycle gang;Seized also money and other arms (brass knuckles) in Hasselt, Diepenbeek, Loon, St Truiden, Heers, Kortessem and Maasmechelen	Press Review	
BE0109	BE104	Belgium	http://www.lameuse.be/1160575/article/2014-12-01/un-homme-arrete-a-ohain-apres-une-tentative-de-meurtre;http://www.7sur7.be/7s7/fr/1502/Belgique/article/detail/2137802/2014/12/01/Un-homme-arr-ecirc-te-pour-avoir-tente-de-tuer-sa-femme.dhtml	2014.0	2014-11-30T00:00:00Z	Belgium	Ohain	4.469147	50.699301	1.0	N/A	N/A	N/A	Yes	1.0	Belgian	82.0	M	Attempted Homicide of the wife	Press Review	BE31
BE0110	BE105	Belgium	http://www.gva.be/cnt/dmf20141212_01425400/binnenschippers-spelen-koerier-voor-drugsmaffia;http://www.hln.be/hln/nl/957/Binnenland/article/detail/2150457/2014/12/12/Bende-drugskoeriers-in-Antwerpse-haven-opgerold.dhtml	2014.0	2014-12-05T00:00:00Z	Belgium	Antwerp	4.39933	51.22056	1.0	N/A	N/A	N/A	N/A	9.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Drug trafficking	Press Review	BE21
BE0111	BE106	Belgium	http://www.rtl.be/info/Regions/hainaut/chatelineau-des-kilos-de-cannabis-decouverts-685878.aspx;http://www.lameuse.be/1174595/article/2014-12-20/chatelineau-decouverte-d-une-vingtaine-de-kilos-de-cannabis-chez-un-dealer-presu;http://www.rtbf.be/info/Regions/detail_20-kgs-de-cannabis-a-chatelineau?id=8626514	2014.0	2014-12-20T00:00:00Z	Belgium	Châtelineau	4.519431	50.415425	1.0	N/A	N/A	N/A	N/A	3.0	N/A;N/A;N/A	N/A;N/A;N/A	N/A;N/A;N/A	Cannabis trafficking	Press Review	BE32
BE0112	BE107	Belgium	http://www.7sur7.be/7s7/fr/3007/Bruxelles/article/detail/2162627/2014/12/25/Une-femme-tire-sur-son-conjoint-dans-les-Marolles.dhtml;http://www.rtl.be/info/belgique/societe/bruxelles-mouscron-ou-grace-hollogne-leur-reveillon-de-noel-a-vire-au-cauchemar-686868.aspx;http://www.lameuse.be/1177467/article/2014-12-25/tentative-de-meurtre-dans-les-marolles-la-suspecte-liberee-sous-conditions;http://www.lacapitale.be/1177467/article/2014-12-25/tentative-de-meurtre-dans-les-marolles-la-suspecte-liberee-sous-conditions;http://www.7sur7.be/7s7/fr/1502/Belgique/article/detail/2162774/2014/12/25/Drame-conjugal-la-suspecte-liberee-sous-conditions.dhtml	2014.0	2014-12-25T00:00:00Z	Belgium	Marolles (Brussels)	4.345908	50.83676	1.0	N/A	N/A	N/A	Yes	1.0	N/A	55.0	F	A woman shoot at his husband	Press Review	BE10
BE0113	BE108	Belgium	http://www.lameuse.be/1182482/article/2015-01-04/fusillade-aux-blommes-trois-hommes-arretes-et-deux-armes-saisies	2015.0	2015-01-02T00:00:00Z	Belgium	Mouscron	3.219566	50.746713	2.0	N/A;N/A	N/A	N/A	Yes	3.0	N/A;N/A;N/A	N/A;N/A;N/A	M;M;M		Press Review	BE32
BE0114	BE109	Belgium	http://www.rtl.be/info/belgique/faits-divers/un-homme-arrete-a-la-suite-de-comportements-suspects-dans-des-commissariats-bruxellois-698451.aspx;http://www.lameuse.be/1207592/article/2015-02-07/laeken-un-homme-arme-se-presente-dans-un-commissariat;http://www.laprovince.be/1207592/article/2015-02-07/laeken-un-homme-arme-se-presente-dans-un-commissariat;http://www.rtl.be/info/Regions/bruxelles/un-homme-au-comportement-etrange-place-en-detention-a-bruxelles-un-nombre-important-d-armes-de-munitions-et-de-stupefiants-retrouve-chez-lui-698458.aspx;http://www.lacapitale.be/1207592/article/2015-02-07/laeken-un-homme-arme-se-presente-dans-un-commissariat;http://www.7sur7.be/7s7/fr/3007/Bruxelles/article/detail/2210119/2015/02/07/Un-homme-arme-arr-ecirc-te-au-commissariat-de-Laeken.dhtml	2015.0	2015-01-05T00:00:00Z	Belgium	Brussels	4.366434	50.83208	1.0	N/A	Yes	House	N/A	1.0	N/A	N/A	M	Seized also knives, a bulletproof vest, various drugs and a precision scale	Press Review	BE10
BE0115	BE110	Belgium	http://www.rtl.be/info/belgique/faits-divers/bilan-de-l-operation-anti-terrorisme-12-perquisitions-13-arrestations-et-un-arsenal-impressionnant-692311.aspx;http://www.rtl.be/info/monde/international/belgique-13-personnes-arretees-le-groupe-voulait-tuer-des-policiers--692315.aspx;http://www.rtl.be/info/monde/international/coups-de-filet-antiterroriste-en-europe--692264.aspx;http://www.levif.be/actualite/belgique/operation-antiterroriste-la-belgique-cible-prioritaire/article-normal-361753.html;http://www.rtbf.be/info/belgique/detail_les-policiers-belges-etaient-bien-vises?id=8785773;http://www.rtl.be/info/monde/europe/attentats-dejoues-en-belgique-deux-personnes-arretees-a-athenes-ne-sont-pas-impliquees-dans-le-dossier-692714.aspx	2015.0	2015-01-15T00:00:00Z	Belgium	Molenbeek	4.941536	50.918649	1.0	Pistol	Yes	N/A	N/A	N/A	N/A	N/A	N/A		Press Review	BE24
BE0116	BE111	Belgium	http://www.rtl.be/info/belgique/faits-divers/bilan-de-l-operation-anti-terrorisme-12-perquisitions-13-arrestations-et-un-arsenal-impressionnant-692311.aspx;http://www.rtl.be/info/monde/international/belgique-13-personnes-arretees-le-groupe-voulait-tuer-des-policiers--692315.aspx;http://www.rtl.be/info/monde/international/coups-de-filet-antiterroriste-en-europe--692264.aspx;http://www.levif.be/actualite/belgique/operation-antiterroriste-la-belgique-cible-prioritaire/article-normal-361753.html;http://www.rtbf.be/info/belgique/detail_les-policiers-belges-etaient-bien-vises?id=8785773;http://www.rtl.be/info/monde/europe/attentats-dejoues-en-belgique-deux-personnes-arretees-a-athenes-ne-sont-pas-impliquees-dans-le-dossier-692714.aspx	2015.0	2015-01-15T00:00:00Z	Belgium	Verviers	5.865717	50.590851	8.0	Pistol;Pistol;Pistol;Pistol;Rifle;Rifle;Rifle;Rifle	Yes	N/A	N/A	15.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Model: Kalashnikov;Kalashnikov;Kalashnikov;Kalashnikov;N/A;N/A;N/A;N/A;Seized also explosives, a large sum of money , GSM, false documents, uniforms and police equipment such as walkie-talkie	Press Review	BE33
BE0117	BE112	Belgium	http://www.nieuwsblad.be/cnt/dmf20150122_01488067	2015.0	2015-01-22T00:00:00Z	Belgium	Bruges	3.215279	51.208	1.0	N/A	N/A	N/A	N/A	1.0	N/A	41.0	M		Press Review	BE25
BE0118	BE113	Belgium	http://www.gva.be/cnt/dmf20150201_01504680/gewapende-man-gearresteerd-op-parking-van-carre	2015.0	2015-02-01T00:00:00Z	Belgium	Willebroek	4.365707	51.059279	1.0	N/A	N/A	N/A	N/A	1.0	N/A	N/A	M		Press Review	BE21
BE0119	BE114	Belgium	http://www.lameuse.be/1213156/article/2015-02-14/un-habitant-d-oupeye-defere-au-parquet-de-liege-apres-avoir-tire-plusieurs-coups;http://www.laprovince.be/1213156/article/2015-02-14/un-habitant-d-oupeye-defere-au-parquet-de-liege-apres-avoir-tire-plusieurs-coups;http://www.lacapitale.be/1213156/article/2015-02-14/un-habitant-d-oupeye-defere-au-parquet-de-liege-apres-avoir-tire-plusieurs-coups;http://www.7sur7.be/7s7/fr/1502/Belgique/article/detail/2218403/2015/02/14/Coups-de-fusil-a-Oupeye-un-homme-arr-ecirc-te.dhtml;http://www.rtl.be/info/Regions/liege/oupeye-elle-appelle-les-policiers-car-son-mari-tire-dans-le-plafond-ils-sont-accueillis-a-coups-de-balais-enflamme-700562.aspx	2015.0	2015-02-13T00:00:00Z	Belgium	Oupeye	5.652973	50.709553	1.0	Rifle	N/A	N/A	Yes	1.0	Belgian	46.0	M	Caliber: 22	Press Review	BE33
BE0120	BE115	Belgium	http://www.lameuse.be/1218491/article/2015-02-20/demantelement-d-un-reseau-de-dealers-dans-le-tournaisis-700g-de-cannabis-une-vin;http://www.lacapitale.be/1218491/article/2015-02-20/demantelement-d-un-reseau-de-dealers-dans-le-tournaisis-700g-de-cannabis-une-vin;http://www.laprovince.be/1218491/article/2015-02-20/demantelement-d-un-reseau-de-dealers-dans-le-tournaisis-700g-de-cannabis-une-vin	2015.0	2015-02-19T00:00:00Z	Belgium	Tournai	3.387134	50.60475	20.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Pistol;Revolver;Rifle	Yes	N/A	N/A	7.0	Belgian;Belgian;Belgian;Belgian;Belgian;Belgian;Belgian	N/A;N/A;N/A;N/A;N/A;N/A;N/A	F;M;M;M;M;M;M		Press Review	BE32
BE0121	BE116	Belgium	http://www.7sur7.be/7s7/fr/1502/Belgique/article/detail/2228746/2015/02/23/Un-chiot-abattu-de-quatre-balles-car-il-n-etait-pas-propre.dhtml;http://www.lameuse.be/1220794/article/2015-02-23/il-abat-son-chiot-car-celui-ci-n-est-pas-propre;http://www.laprovince.be/1220794/article/2015-02-23/il-abat-son-chiot-car-celui-ci-n-est-pas-propre;http://www.lacapitale.be/1220794/article/2015-02-23/il-abat-son-chiot-car-celui-ci-n-est-pas-propre	2015.0	2015-02-23T00:00:00Z	Belgium	Maldegem	3.444057	51.209022	2.0	N/A;N/A	N/A	N/A	Yes	1.0	N/A	N/A	M		Press Review	BE23
BE0122	BE117	Belgium	http://www.7sur7.be/7s7/fr/1505/Monde/article/detail/2229990/2015/02/24/Deux-suspects-sous-mandat-d-arr-ecirc-t-apres-les-tirs-contre-la-police.dhtml;http://www.rtl.be/info/belgique/faits-divers/fusillade-a-vieux-turnhout-les-trois-suspects-places-sous-mandat-d-arret-703165.aspx;http://www.lameuse.be/1221367/article/2015-02-24/tournai-une-8e-arrestation-dans-un-trafic-de-cannabis	2015.0	2015-02-24T00:00:00Z	Belgium	Oud-Turnhout	4.982553	51.317492	1.0	Rifle	N/A	N/A	Yes	3.0	N/A;N/A;N/A	N/A;N/A;N/A	N/A;N/A;N/A	Kalashnikov	Press Review	BE21
BE0123	BE118	Belgium	http://www.lameuse.be/1229829/article/2015-03-06/mons/boussu/quevy-perquisitions-et-arrestations-dans-le-milieu-criminel-organise;http://www.laprovince.be/1229829/article/2015-03-06/mons/boussu/quevy-perquisitions-et-arrestations-dans-le-milieu-criminel-organise	2015.0	2015-03-05T00:00:00Z	Belgium	Several places	-	-	N/A	N/A	N/A	N/A	N/A	7.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A		Press Review	
BE0124	BE119	Belgium	http://www.lameuse.be/1233964/article/2015-03-11/couvin-on-lui-saisit-plus-de-200-armes-et-des-centaines-de-grenades-non-declaree;http://www.lacapitale.be/1233964/article/2015-03-11/couvin-on-lui-saisit-plus-de-200-armes-et-des-centaines-de-grenades-non-declaree;http://www.laprovince.be/1233964/article/2015-03-11/couvin-on-lui-saisit-plus-de-200-armes-et-des-centaines-de-grenades-non-declaree	2015.0	2015-03-12T00:00:00Z	Belgium	Frasnes Lez Couvin	4.504639	50.092161	200.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A	House	N/A	1.0	N/A	N/A	M		Press Review	BE35
BE0125	BE120	Belgium	http://www.7sur7.be/7s7/fr/1502/Belgique/article/detail/2259268/2015/03/20/Des-agents-de-securite-d-un-cafe-menaces-avec-un-8-mm.dhtml;http://www.lacapitale.be/1244472/article/2015-03-20/un-habitant-de-saint-nicolas-menace-des-agents-de-securite-d-un-cafe-liegeois-av;http://www.lameuse.be/1244472/article/2015-03-20/un-habitant-de-saint-nicolas-menace-des-agents-de-securite-d-un-cafe-liegeois-av;http://www.laprovince.be/1244472/article/2015-03-20/un-habitant-de-saint-nicolas-menace-des-agents-de-securite-d-un-cafe-liegeois-av	2015.0	2015-03-20T00:00:00Z	Belgium	Liège	5.566667	50.633333	1.0	N/A	N/A	N/A	Yes	1.0	Belgian	N/A	M	Caliber: 8	Press Review	BE33
BE0126	BE121	Belgium	http://www.lameuse.be/1251263/article/2015-03-29/chatelet-une-arme-a-feu-saisie-lors-d-une-operation	2015.0	2015-03-27T00:00:00Z	Belgium	Châtelineau	4.519903	50.415343	1.0	N/A	N/A	N/A	N/A	1.0	N/A	N/A	N/A		Press Review	BE32
BE0040	BE122	Belgium	http://www.lacapitale.be/893495/article/Regions/bruxelles/actualite/2014-01-02/bruxelles-un-trafiquant-d-armes-presume-demande-le-sursis;http://www.lameuse.be/893495/article/Regions/bruxelles/actualite/2014-01-02/bruxelles-un-trafiquant-d-armes-presume-demande-le-sursis	2011.0	01/2011 - 11/2011	Belgium	Brussels	4.366434	50.83208	100.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Yes	N/A	N/A	13.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Accused of criminal association, detention, illegal sale and concealment of weapons of war.	Press Review	BE10
BE0014	BE123	Belgium	http://www.demorgen.be/dm/nl/993/Gezondheid/article/detail/1074650/2010/03/02/Belgisch-Nederlandse-druglabo-s-opgedoekt.dhtml	2010.0	N/A	Belgium	Grobbendonk	4.739448	51.189487	N/A	N/A	N/A	House	N/A	1.0	Belgian	74.0	M		Press Review	BE21
BE0015	BE124	Belgium	http://knack.rnews.be/nl/actualiteit/nieuws/belgie/zes-maanden-met-uitstel-voor-politiechef/article-1194757424182.htm	2010.0	N/A	Belgium	N/A	-	-	1.0	N/A	N/A	N/A	N/A	1.0	N/A	N/A	M		Press Review	
BE0041	BE125	Belgium	http://www.7sur7.be/7s7/fr/1502/Belgique/article/detail/1439279/2012/05/16/Le-chauffeur-d-Emir-Kir-arrete-pour-une-affaire-de-trafic-d-armes.dhtml?utm_source=RSSReader&utm_medium=RSS;http://www.7sur7.be/7s7/fr/1502/Belgique/article/detail/1439605/2012/05/16/Le-chauffeur-d-Emir-Kir-devant-la-chambre-du-conseil.dhtml?utm_source=RSSReader&utm_medium=RSS;http://www.7sur7.be/7s7/fr/1502/Belgique/article/detail/1439710/2012/05/16/Le-chauffeur-d-Emir-Kir-maintenu-en-detention.dhtml?utm_source=RSSReader&utm_medium=RSS;http://www.7sur7.be/7s7/fr/1502/Belgique/article/detail/1552575/2012/12/21/Le-chauffeur-d-Emir-Kir-condamne-pour-trafic-d-armes.dhtml?utm_source=RSSReader&utm_medium=RSS	2011.0	N/A	Belgium	N/A	-	-	11.0	N/A;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle	Yes	N/A	N/A	9.0	Belgian;N/A;N/A;Serbian;Serbian;Serbian;Serbian;Serbian;Turk	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Model:N/A;Kalashnikov;Kalashnikov;Kalashnikov;Kalashnikov;Kalashnikov;Kalashnikov;Kalashnikov;Kalashnikov;Kalashnikov;Kalashnikov. Seized also: more than 300 cartridges, two rocket launchers, ten defensive grenades,	Press Review	
BE0078	BE126	Belgium	http://www.rtbf.be/info/Regions/detail_cinq-personnes-arretees-chez-les-hells-angels-de-charleroi?id=8007487	2013.0	N/A	Belgium	Charleroi	4.446836	50.410794	4.0	Revolver;Revolver;Revolver;Revolver	N/A	House	N/A	4.0	N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A	Caliber: 357 Magnum;Guns were found during search of Hells Angels' club	Press Review	BE32
BG0001	BG001	Bulgaria	http://www.customs.bg/bg/pubs/2930	2010.0	2010-06-03T00:00:00Z	Bulgaria	Vidin	22.87578	43.99334	9.0	Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol	Yes	Car	N/A	4.0	Romanian;Romanian;Romanian;Romanian	N/A;N/A;N/A;N/A	M;M;M;M	Brand: Errol	Press release customs	BG41
BG0002	BG002	Bulgaria	http://www.customs.bg/bg/pubs/2931	2010.0	2010-06-03T00:00:00Z	Bulgaria	Vidin	22.87578	43.99334	4.0	Pistol;Pistol;Pistol;Pistol	Yes	Other	N/A	N/A	N/A	N	N/A	Other: van;Brand: Makarov	Press release customs	BG31
BG0003	BG003	Bulgaria	http://www.customs.bg/bg/pubs/3148	2010.0	2010-09-03T00:00:00Z	Bulgaria	Kalotina	22.868387	42.993094	1.0	Pistol	Yes	Car	N/A	1.0	Turk 	50.0	M	The gun was hidden under the dashboard of the car, driven by a Turk citizen, 50 years old, traveling from Turkey to the Netherlands.	Press release customs	BG31
BG0004	BG004	Bulgaria	http://www.customs.bg/bg/pubs/3292	2010.0	2010-10-18T00:00:00Z	Bulgaria	Kalotina	22.868387	42.993094	2.0	Rifle;Rifle	N/A	Other	N/A	N/A	N/A	N/A	N/A	Other: Train;Brand: Quattro Trigger;Traveling from Bulgaria to Serbiania	Press release customs	BG41
BG0005	BG005	Bulgaria	http://www.customs.bg/bg/pubs/3690	2011.0	2011-03-28T00:00:00Z	Bulgaria	Ruse	25.95524	43.84959	1.0	Pistol	Yes	Other	N/A	N/A	N/A	N/A	N/A	Brand: Walther;Caliber: 9;Other: lorry;Traveling from Serbiania to Bulgaria	Press release customs	BG32
BG0006	BG006	Bulgaria	http://www.customs.bg/bg/pubs/3834	2011.0	2011-05-31T00:00:00Z	Bulgaria	Kalotina	22.868387	42.993094	5.0	Rifle;Rifle;Rifle;Rifle;Rifle	N/A	Other	N/A	N/A	N/A	N/A	N/A	Brand: Hatsan Grizzly;Three of them with wooden butt and optical target without brand and model	Press release customs	BG41
BG0007	BG007	Bulgaria	http://www.customs.bg/bg/pubs/3914	2011.0	2011-07-05T00:00:00Z	Bulgaria	Kalotina	22.868387	42.993094	1.0	Rifle	N/A	Other	N/A	N/A	N/A	N/A	N/A	Other: Train;air barreled rifle	Press release customs	BG41
BG0008	BG008	Bulgaria	http://www.customs.bg/bg/pubs/4172	2012.0	2012-01-13T00:00:00Z	Bulgaria	Kalotina	22.868387	42.993094	1.0	Rifle	N/A	Car	N/A	1.0	Bulgarian 	N/A	M		Press release customs	BG41
BG0009	BG009	Bulgaria	http://www.customs.bg/bg/pubs/4212	2012.0	2012-02-10T00:00:00Z	Bulgaria	Kalotina	22.868387	42.993094	1.0	N/A	N/A	Other	N/A	N/A	N/A	N/A	N/A	Other: Train;Brand: Blow;Model: Automatic F 92; Traveling from Bulgaria to Serbiania	Press release customs	BG41
BG0010	BG010	Bulgaria	http://www.customs.bg/bg/pubs/4318	2012.0	2012-04-23T00:00:00Z	Bulgaria	Kalotina	22.868387	42.993094	3.0	Rifle;Rifle;Rifle	N/A	Other	N/A	N/A	N/A	N/A	N/A	Other: Train;Brand: Hatsan Grizzly;Two of them were without make and model;Traveling from Bulgaria for the Republic of Serbiania	Press release customs	BG41
BG0085	BG011	Bulgaria	http://press.mvr.bg/Archive/News/News_2012/news120922_05.htm	2012.0	2012-09-22T00:00:00Z	Bulgaria	Sveti Vlas	27.759637	42.712545	N/A	N/A	Yes	House	N/A	5.0	Bulgarian;Bulgarian;Bulgarian;Bulgarian;Bulgarian	N/A;N/A;N/A;N/A;N/A	M;M;M;M;M	Found and seized a variety of ammunition, illegal firearms, drugs	Press release LEA	BG34
BG0001	BG012	Bulgaria	http://dariknews.bg/view_article.php?article_id=1066770	2013.0	2013-04-07T00:00:00Z	Bulgaria	Stob	23.105419	42.0958	1.0	Rifle	N/A	House	N/A	1.0	N/A	26.0	M	Rifle without serial number and brand;Search and seizure after a signal to the police station that he had illegal firearms, he has shown later a permit for possession of short firearms.	Press review	BG41
BG0002	BG013	Bulgaria	http://dariknews.bg/view_article.php?article_id=1066770	2013.0	2013-04-07T00:00:00Z	Bulgaria	N/A	-	-	1.0	Rifle	N/A	Car	N/A	1.0	N/A	N/A	M	Rifle with unidentified marks, number and caliber. In the barrel there was a thimble;Between the village of Stob and Rila	Press review	BG31
BG0003	BG014	Bulgaria	http://crime.actualno.com/Porednijat-izzet-arsenal-ot-vyzrasten-myj-tozi-pyt-vyv-Vidinsko-news_26202.html	2014.0	2014-04-29T00:00:00Z	Bulgaria	Tiyanovtsi	22.727763	44.076671	5.0	Other;Pistol;Pistol;Revolver;Rifle	Yes	House	N/A	1.0	N/A	65.0	M	Ammunitions:35rounds;Other: gas gun brand:Voltran	Press review	BG31
BG0011	BG015	Bulgaria	http://www.customs.bg/bg/pubs/5761	2014.0	2014-10-19T00:00:00Z	Bulgaria	Svilengrad	26.201548	41.76218	5.0	Pistol;Pistol;Pistol;Pistol;Pistol	Yes	Car	N/A	1.0	Turk 	N/A	M	Guns are different brands	Press release customs	BG42
BG0012	BG016	Bulgaria	http://www.customs.bg/bg/pubs/5797;http://www.customs.bg/bg/pubs/5902	2014.0	2014-11-11T00:00:00Z	Bulgaria	Burgas	27.47001	42.49767	1.0	Revolver	Yes	Car	N/A	1.0	Ukrainian 	N/A	M	Brand: Taurus;Caliber: 4	Press release customs	BG34
BG0013	BG017	Bulgaria	http://www.customs.bg/bg/pubs/5797;http://www.customs.bg/bg/pubs/5902	2014.0	2014-12-19T00:00:00Z	Bulgaria	Kalotina	22.868387	42.993094	13.0	Other;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol	Yes	Other	N/A	N/A	N/A	N/A	N/A	Air gun;Other: Train	Press release customs	BG41
BG0001	BG018	Bulgaria	http://press.mvr.bg/Archive/News/News_2010/news101201_12.htm	2010.0	N/A	Bulgaria	Pazardzhik	24.33212	42.19132	1.0	N/A	Yes	Other	Yes	1.0	N/A	N/A	M		Press release LEA	BG41
