Old_Crime_ID	Crime_ID	Country	Link	Event_year	Event_date	Seizure_co	Seizure_ci	X	Y	N. of fire	Firearm_Ty	Ammunition	Storage	Shooting/h	N. of acto	Actors_nat	Actors_age	Actors_gen	Additional	Source	NUTS_ID
RO0035	RO047	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/suspecti-de-trafic-de-droguri-si-nerespectarea-regimului-armelor-si-munitiilor-identificati-de-politisti	2013.0	2013-02-08T00:00:00Z	Romania	Vaslui	26.09776	44.44804	3.0	N/A;N/A;N/A	Yes	House	N/A	2.0	N/A;N/A	27;30	M;M	Drug traffic	Press release LEA	RO32
RO0036	RO048	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/retinut-de-politisti-pentru-infractiuni-la-regimul-armelor-si-munitiilor	2013.0	2013-03-18T00:00:00Z	Romania	Bucharest	28.02218	45.44344	3.0	Pistol;Pistol;Revolver	Yes	House	N/A	1.0	N/A	N/A	N/A		Press release LEA	RO22
RO0037	RO049	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/perchezitii-la-detinatori-ilegali-de-arme	2013.0	2013-04-05T00:00:00Z	Romania	Galați	28.008697	45.434746	4.0	N/A;N/A;N/A;Pistol	Yes	House	N/A	3.0	N/A;N/A;N/A	60;24;50	F;M;M	Smuggling weapons.	Press release LEA	RO22
RO0038	RO050	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/perchezitii-domiciliare-la-detinatori-ilegali-de-arme-si-munitie	2013.0	2013-04-09T00:00:00Z	Romania	Făurei	27.268442	45.084356	8.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Yes	House	N/A	8.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	27-75;27-75;27-75;27-75;27-75;27-75;27-75;27-75	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A		Press release LEA	RO22
RO0039	RO051	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/o-arma-letala-si-peste-1800-de-cartuse-detinute-ilegal-ridicate-de-politisti	2013.0	2013-04-10T00:00:00Z	Romania	Lovrin	27.72927	46.64088	1.0	N/A	Yes	House	N/A	1.0	N/A	47.0	M	Caliber: 22mm	Press release LEA	RO21
RO0040	RO052	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-si-munitie-introduse-ilegal-in-tara-descoperite-de-politisti	2013.0	2013-04-25T00:00:00Z	Romania	Vaslui	27.729234	46.639672	1.0	Other	Yes	Car	N/A	1.0	N/A	23.0	M		Press release LEA	RO21
RO0041	RO053	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-de-foc-gasite-de-politisti-in-urma-unei-actiuni-pe-linia-respectarii-regimului-armelor-si-munitiilor	2013.0	2013-05-17T00:00:00Z	Romania	Întorsura Buzăului	26.015335	45.663333	3.0	N/A;N/A;N/A	Yes	House	N/A	1.0	Romanian	N/A	M		Press release LEA	RO12
RO0042	RO054	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-de-vanatoare-si-munitie-confiscate-de-politisti	2013.0	2013-05-19T00:00:00Z	Romania	Drăgoiești	26.082401	47.549331	10.0	Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle	Yes	House	N/A	1.0	Italian	63.0	M	Hunting rifle, cliber:12mm	Press release LEA	RO21
RO0043	RO055	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-si-munitie-detinute-fara-drept-descoperite-de-politisti	2013.0	2013-05-24T00:00:00Z	Romania	Lăpuș	24.55591	46.53625	1.0	Rifle	Yes	House	N/A	1.0	Romanian	45.0	M	Hunting rifle, cliber:12mm	Press release LEA	RO12
RO0044	RO056	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/perchezitii-la-suspecti-de-trafic-de-droguri-15282	2013.0	2013-06-13T00:00:00Z	Romania	Târgu Mureș	22.87634	47.78784	1.0	Other	N/A	House	N/A	3.0	N/A;N/A;N/A	N/A;N/A;N/A	N/A;N/A;N/A	Drug traffic. Air pistol.	Press release LEA	RO11
